geo_type,region,transportation_type,alternative_name,sub-region,country,Date,Frequency
city,Charlotte,driving,NA,North Carolina,United States,2020-12-20,98.29
city,Charlotte,driving,NA,North Carolina,United States,2020-12-21,125.79
city,Charlotte,driving,NA,North Carolina,United States,2020-12-22,133.09
city,Charlotte,driving,NA,North Carolina,United States,2020-12-23,139.88
city,Charlotte,driving,NA,North Carolina,United States,2020-12-24,97.41
city,Charlotte,driving,NA,North Carolina,United States,2020-12-25,50.34
city,Charlotte,driving,NA,North Carolina,United States,2020-12-26,99.08
city,Charlotte,driving,NA,North Carolina,United States,2020-12-27,89.23
city,Charlotte,driving,NA,North Carolina,United States,2020-12-28,112.63
city,Charlotte,driving,NA,North Carolina,United States,2020-12-29,117.49
city,Charlotte,driving,NA,North Carolina,United States,2020-12-30,120.8
city,Charlotte,driving,NA,North Carolina,United States,2020-12-31,122.65
city,Charlotte,driving,NA,North Carolina,United States,2021-01-01,80.11
city,Charlotte,driving,NA,North Carolina,United States,2021-01-02,111.34
city,Charlotte,driving,NA,North Carolina,United States,2021-01-03,89.46
city,Charlotte,driving,NA,North Carolina,United States,2021-01-04,108.9
city,Charlotte,driving,NA,North Carolina,United States,2021-01-05,110.7
city,Charlotte,driving,NA,North Carolina,United States,2021-01-06,107.54
city,Charlotte,driving,NA,North Carolina,United States,2021-01-07,110.2
city,Charlotte,driving,NA,North Carolina,United States,2021-01-08,106.07
city,Charlotte,driving,NA,North Carolina,United States,2021-01-09,120.29
city,Charlotte,driving,NA,North Carolina,United States,2021-01-10,90.83
city,Charlotte,driving,NA,North Carolina,United States,2021-01-11,104.09
city,Charlotte,driving,NA,North Carolina,United States,2021-01-12,107.62
city,Charlotte,driving,NA,North Carolina,United States,2021-01-13,109.44
city,Charlotte,driving,NA,North Carolina,United States,2021-01-14,113.02
city,Charlotte,driving,NA,North Carolina,United States,2021-01-15,129.16
city,Charlotte,driving,NA,North Carolina,United States,2021-01-16,124.79
city,Charlotte,driving,NA,North Carolina,United States,2021-01-17,94.33
city,Charlotte,driving,NA,North Carolina,United States,2021-01-18,110.39
city,Charlotte,driving,NA,North Carolina,United States,2021-01-19,105.84
city,Charlotte,driving,NA,North Carolina,United States,2021-01-20,104.11
city,Charlotte,driving,NA,North Carolina,United States,2021-01-21,107.54
city,Charlotte,driving,NA,North Carolina,United States,2021-01-22,128.04
city,Charlotte,driving,NA,North Carolina,United States,2021-01-23,128.22
city,Charlotte,driving,NA,North Carolina,United States,2021-01-24,91.52
city,Charlotte,driving,NA,North Carolina,United States,2021-01-25,98.74
city,Charlotte,driving,NA,North Carolina,United States,2021-01-26,104.11
city,Charlotte,driving,NA,North Carolina,United States,2021-01-27,104.09
city,Charlotte,driving,NA,North Carolina,United States,2021-01-28,113.41
city,Charlotte,driving,NA,North Carolina,United States,2021-01-29,130.98
